wind_scen,price_scen,imb_scen,profit_EUR
w8,p17,i1,323397.0884049202
w8,p17,i2,321633.8947646277
w8,p17,i3,321868.9883610372
w8,p17,i4,323661.1325711436
w8,p18,i1,601747.1152632978
w8,p18,i2,600263.2774720745
w8,p18,i3,602200.3418051861
w8,p18,i4,605912.4852220744
w8,p19,i1,310008.02888829785
w8,p19,i2,308637.3370206117
w8,p19,i3,307589.9772885638
w8,p19,i4,309558.1791003989
w8,p20,i1,95988.1617287234
w8,p20,i2,95784.95990026595
w8,p20,i3,95367.87059906915
w8,p20,i4,95817.47458976063
w9,p1,i1,255783.76783045213
w9,p1,i2,240107.5768849734
w9,p1,i3,246170.57451263297
w9,p1,i4,230996.4457047872
w9,p2,i1,224528.15893949466
w9,p2,i2,216055.35013962764
w9,p2,i3,219867.60208444146
w9,p2,i4,212803.0578125
w9,p3,i1,174311.5164261968
w9,p3,i2,164410.06193816487
w9,p3,i3,170760.49113031913
w9,p3,i4,161124.62055851062
w9,p4,i1,312768.0325984043
w9,p4,i2,300154.87507646275
w9,p4,i3,302651.1748224734
w9,p4,i4,291117.5405352394
w9,p5,i1,232948.78931715424
w9,p5,i2,219479.49216090425
w9,p5,i3,227691.30651795212
w9,p5,i4,214873.3142386968
w9,p6,i1,300248.77152127656
w9,p6,i2,285151.13584773935
w9,p6,i3,293177.32803390955
w9,p6,i4,279242.42618351063
w9,p7,i1,261251.41248670212
w9,p7,i2,249524.04057845744
w9,p7,i3,256469.159787234
w9,p7,i4,246993.7513331117
w9,p8,i1,26656.34174135638
w9,p8,i2,26331.195319148934
w9,p8,i3,26675.586385638293
w9,p8,i4,26419.061788563828
w9,p9,i1,13977.09650199468
w9,p9,i2,13652.045472074467
w9,p9,i3,13595.923779255318
w9,p9,i4,13393.575285904255
w9,p10,i1,116937.44346542552
w9,p10,i2,113881.51148271275
w9,p10,i3,114510.04520744679
w9,p10,i4,112114.49300199468
w9,p11,i1,220909.4292480053
w9,p11,i2,208584.61754986702
w9,p11,i3,215386.04146542551
w9,p11,i4,203499.78017952127
w9,p12,i1,312617.5564753989
w9,p12,i2,297906.24161569146
w9,p12,i3,303556.2412460106
w9,p12,i4,289983.1074301861
w9,p13,i1,388599.9580405585
w9,p13,i2,368633.7235505319
w9,p13,i3,376019.6519135638
w9,p13,i4,357481.18369680847
w9,p14,i1,335329.6740492021
w9,p14,i2,320570.55332779256
w9,p14,i3,326167.00329454785
w9,p14,i4,313024.0369148936
w9,p15,i1,176415.63866223404
w9,p15,i2,170134.11766954788
w9,p15,i3,171846.0810192819
w9,p15,i4,166724.2496875
w9,p16,i1,194092.32307978722
w9,p16,i2,182848.4225930851
w9,p16,i3,189550.30481183509
w9,p16,i4,178722.2051761968
w9,p17,i1,216033.69074268616
w9,p17,i2,209615.90374002658
w9,p17,i3,211125.91855518616
w9,p17,i4,205663.64938829787
w9,p18,i1,327471.9718829787
w9,p18,i2,310617.72684507974
w9,p18,i3,318576.93951595743
w9,p18,i4,302901.7909441489
w9,p19,i1,205482.11885638296
w9,p19,i2,198770.02386635635
w9,p19,i3,201403.28637965422
w9,p19,i4,196146.67101063827
w9,p20,i1,59478.69224002659
